 tid |                  name                   
-----+-----------------------------------------
   1 | אדון
 231 | אסיסטנט
 285 | אסיסטנט
  29 | אקולוגיה, אבולוציה  והתנהגות
  25 | ביוטכנולוגיה
  30 | ביוכימיה מבנית ומולקולארית
  34 | ביולוגיה תאית והתפתחותית
  10 | גב
   2 | גב'
  35 | גנומיקה וביואינפורמטיקה
  31 | גנטיקה
 286 | דיקן
  57 | דיקן
 287 | דיקן הפקולטה
 233 | דיקן הפקולטה
 161 | דיקן לשעבר
 288 | דיקן משנה
 234 | דיקן משנה
   5 | דר'
  43 | הוראת המדעים
  20 | החוג לביולוגיה חישובית
  15 | החוג להוראת מדעים
  12 | החוג לחישוביות עצבית
  19 | החוג למדעי החיים
  21 | החוג לפיסיקה יישומית
  44 | היחידה להוראת התכנות
 336 | המכון למדעי החיים על שם אלכסנדר סילברמן
  16 | התוכנית המשולבת במדעים מדויקים
  17 | התוכנית ללימודי הסביבה
  18 | התוכנית לניהול טכנולוגי
 114 | חבר
 289 | חבר
 175 | חוקר
 290 | חוקר
  51 | חיפוש קורסים
 291 | חניך
 116 | חניך
  63 | חשב
 292 | חשב
 178 | חשב הפקולטה
 293 | חשב הפקולטה
  65 | יועץ
 294 | יועץ
  55 | יועץ תלמידי בוגר
 160 | יועץ תלמידי בוגר שנה א'
 162 | יועץ תלמידי בוגר שנה ב'
 163 | יועץ תלמידי בוגר שנה ג'
 164 | יועץ תלמידי בוגר שנה ד'
 165 | יועץ תלמידי מוסמך
 295 | יו''ר בית ספר להנדסה ולמדעי המחשב
  66 | יו''ר בית ספר להנדסה ולמדעי המחשב
  67 | יו''ר החוג
 296 | יו''ר החוג
 182 | יו''ר המגמה
 297 | יו''ר המגמה
  69 | יו''ר ועדת הלימודים
 298 | יו''ר ועדת הלימודים
 299 | יו''ר מכון
 184 | יו''ר מכון
 125 | יו''ר מסלול
 300 | יו''ר מסלול
 301 | יו''ר תוכנית
 126 | יו''ר תוכנית
 248 | יחידת בת כספים
 302 | יחידת בת כספים
 303 | כח אדם אקדמי
 249 | כח אדם אקדמי
  11 | כימיה
  45 | לימודי הסביבה
  28 | מדעי החיים
  32 | (מדעי המח וההתנהגות (פיסיולוגיה
  42 | מדעי המח: חישוב ועיבוד מידע
  33 | מדעי הצמח
  14 | מדעי כדור הארץ
 230 | מדריך כתובות וטלפונים
 304 | מורה
  75 | מורה
 305 | מזכירה
  76 | מזכירה
 306 | מזכירה בכירה
 131 | מזכירה בכירה
 253 | מזכירה לענייני הוראה
 307 | מזכירה לענייני הוראה
 193 | מזכירה לענייני תלמידים
 308 | מזכירה לענייני תלמידים
  80 | מזכיר הפקולטה
 309 | מזכיר הפקולטה
  27 | מזכירות לתלמידי מוסמך
